islan,isnewip,isnewuser,isvpn,percent,src_ip_c,tag,total_c
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.125,2,1,16
0,1,1,0,0.125,2,1,16
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.25,4,1,16
0,1,1,0,0.25,4,1,16
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.008695652,2,1,230
0,1,1,0,0.008695652,2,1,230
0,1,1,0,0.166666667,2,1,12
0,1,1,0,0.166666667,2,1,12
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.25,4,1,16
0,1,1,0,0.25,4,1,16
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.003616637,2,1,553
0,1,1,0,0.003616637,2,1,553
0,0,1,0,0.181818182,2,1,11
0,0,1,0,0.181818182,2,1,11
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.260869565,6,1,23
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.003824092,2,1,523
0,1,1,0,0.003824092,2,1,523
0,1,1,0,0.133333333,2,1,15
0,1,1,0,0.133333333,2,1,15
0,1,1,0,0.153846154,2,1,13
0,1,1,0,0.153846154,2,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.55,11,1,20
0,1,1,0,0.55,11,1,20
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.003030303,2,1,660
0,1,1,0,0.003030303,2,1,660
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.307692308,4,1,13
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.181818182,8,1,44
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.181818182,2,1,11
0,1,1,0,0.013513514,2,1,148
0,1,1,0,0.013513514,2,1,148
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.266666667,4,1,15
0,1,1,0,0.266666667,4,1,15
