islan,isnewip,isnewuser,isvpn,percent,src_ip_c,tag,total_c
0,0,0,0,0.999552976,120745,0,120799
0,1,1,0,0.986692015,2076,0,2104
1,0,0,0,0.989714286,866,0,875
0,0,0,0,0.985346359,2219,0,2252
0,1,1,0,0.913493183,1943,0,2127
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.411870504,229,0,556
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.991883117,2444,0,2464
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.00702847,79,0,11240
1,0,0,0,0.810917671,12716,0,15681
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.991883117,2444,0,2464
1,0,0,0,0.005338078,60,0,11240
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.99002849,2085,0,2106
1,0,0,0,0.810917671,12716,0,15681
1,1,1,0,1,9,0,9
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.995209581,1662,0,1670
0,1,1,0,0.913493183,1943,0,2127
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.992444277,2627,0,2647
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.995209581,1662,0,1670
0,0,0,0,0.998735021,58425,0,58499
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.993227991,2640,0,2658
0,0,0,0,0.991883117,2444,0,2464
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.810917671,12716,0,15681
0,1,1,0,0.998565966,2089,0,2092
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.995283019,2321,0,2332
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.991883117,2444,0,2464
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.999206034,2517,0,2519
1,0,0,0,0.111111111,2,0,18
0,0,0,0,0.998735021,58425,0,58499
0,1,1,0,0.995229577,1669,0,1677
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,1,1,0,0.995229577,1669,0,1677
1,0,0,0,0.061482821,102,0,1659
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
1,1,1,0,0.498269896,288,0,578
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.99002849,2085,0,2106
1,0,0,0,0.045454545,14,0,308
1,0,0,0,0.006377144,100,0,15681
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.810917671,12716,0,15681
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.998735021,58425,0,58499
0,0,0,0,0.999552976,120745,0,120799
0,0,0,0,0.999552976,120745,0,120799
1,0,0,0,0.008896797,100,0,11240
0,1,1,0,0.986692015,2076,0,2104
0,0,0,0,0.983422939,2195,0,2232
